"IL.1α","IL.1β","IL.2","IL.3","IL.4","IL.5","IL.6","IL.9","IL.10","IL.12p40","IL.12p70","IL.13","IL.17a","Eotaxin","GCSF","GMCSF","IFN.γ","KC","MCP.1","MIP.1a","MIP.1b","RANTES","TNFα","IL.15","IL.18","Basic.FGF","LIF","MCSF","MIG","MIP.2α","PDGF.BB","VEGF"
8.2,0.001,0.001,2.55,1.5,0.001,24.09,0.001,13.62,14.1,40.7,16.53,0.001,44.69,19.3,103.17,9.46,53.51,165.43,426.81,741.21,1277.04,578.55,12.54,0.001,36.91,0.92,2.44,304.86,403.33,0.001,28.44
0.001,0.001,0.001,0.001,0.001,0.001,2,0.001,3.11,6.3,32.27,0.001,0.001,0.001,1.2,0.001,0.001,25.13,0.001,33.42,137.93,84.82,694.76,3.9,0.001,30.29,0.001,1.57,121.2,33.25,0.001,43.34
9.84,0.001,58.26,4.03,16.07,2.23,1.5,82.34,3.8,6.61,27.45,2.74,0.56,0.001,0.91,45.44,13.26,3.35,0.001,56.9,216.44,59.49,557.04,16.73,0.001,20.45,5.17,1.62,35.81,3.89,56.34,17.08
12.72,0.001,2.92,4.51,0.001,0.39,58.03,0.001,4.57,77.46,27.45,10.65,1.21,0.001,3.05,59.02,2.88,8.22,42.67,118.43,80.98,74.58,575.3,17.85,0.001,10.75,2.18,1.91,27.38,41.66,110.49,14.77
8.31,0.001,0.001,2.77,0.001,1.06,2.06,0.001,0.001,3.95,0.001,0.001,0.11,0.001,0.46,3.09,1.9,8.22,0.001,14.63,21.08,80.16,162.85,7.78,0.001,14.5,1.18,0.89,0.001,29.06,0.001,6.79
8.7,0.001,0.001,3.55,0.001,0.001,4.27,0.001,0.001,7.44,0.001,9.05,0.34,0.001,19.16,25.78,1.9,49.56,17.73,124.48,99.49,36.85,430.5,7.78,0.001,20.45,1.85,0.82,5.1,338.69,0.001,5.87
6.67,0.001,0.001,2.32,0.001,0.39,1.55,0.001,0.001,3.75,0.001,0.001,0.001,0.001,0.001,16.19,0.77,7.17,0.001,14.16,21.41,59.82,235.76,1.07,0.001,14.5,0.84,1.03,0.001,30.52,0.001,5.26
10.59,0.001,68.48,5.43,53.93,3.84,3.11,0.001,3.8,6.19,18.1,9.05,8.58,0.001,1.34,30.08,16.01,3.18,0.001,87.31,344.26,79.82,267.15,10.02,0.001,17.64,7.48,1.47,53.66,5.82,60.35,20.08
14.09,0.001,0.66,6.37,1.97,1.06,191.55,15.06,23.94,360.82,45.7,28.52,1.53,0.001,6.37,74.5,1.71,12.64,112.22,525.53,358.55,200.19,458.06,21.21,0.001,10.75,2.18,1.91,19.36,50.56,13.78,26.86
8.7,0.001,0.001,3.08,0.001,0.39,5.18,0.001,0.001,9.9,8.33,0.001,0.56,0.001,0.91,32.14,1.82,5.71,0.001,40.49,53.11,133.15,267.15,5.54,0.001,14.5,0.84,1.54,5.1,31.12,0.001,10.24
14.81,0.001,0.001,6.19,3.92,1.06,22.02,0.001,16.96,15.77,26.29,28.52,1.42,0.001,175.11,59.02,1.9,152.19,112.22,714.69,494.76,59.49,254.7,16.73,0.001,20.45,1.85,1.69,19.36,1094.23,0.001,11.52
5.98,0.001,0.001,2.93,0.001,0.001,2.17,37.35,0.001,7.23,0.001,0.001,0.11,0.001,0.68,41.81,3.38,6.87,0.001,27.28,35.27,75.02,374.11,12.25,0.001,23.02,2.18,1.32,11.86,36.37,0.001,7.1
9.27,0.001,1.17,3.55,0.001,0.39,1.04,52.79,0.001,5.78,27.45,0.001,0.34,0.001,0.001,45.44,3.09,3.52,0.001,6.24,8.8,16.39,649.65,18.97,0.001,27.69,1.85,2.06,19.36,1.98,80.01,12.17
20.53,75.17,116.93,11.55,58.4,7.48,21.78,0.001,19.27,41.83,65.68,54.31,27.13,0.001,9.75,141.16,89.14,58.43,306.39,419.01,1318,352.69,680.92,20.65,20.22,37.38,15.92,4.4,6520.34,275.92,25.39,57.11
35.62,223.75,10.69,17.19,8.87,4.61,761.61,60.77,399.35,2193.96,222.04,147.3,5.66,861.86,46.76,253.04,17.01,135.6,429.08,3460.37,5956.23,1161.7,1013.97,53.17,54.16,28.6,6.16,4.4,594.14,386.23,67.97,308.31
50.69,142.01,0.001,10.96,4.96,2.78,127.68,35.05,121.36,68.68,89.78,84.07,3.38,347.28,60.59,176.15,22.49,305.54,336.93,1149.66,1582.47,2639.05,722.24,29.43,46.37,37.38,6.16,4.57,973.35,1128.61,0.001,101.71
112.06,297.48,12.85,79.69,24.36,6.13,325.97,54.67,931.05,1017.2,469.13,108.55,11.71,699.21,862.59,238.58,56.49,1534.06,5752.04,2313.8,3500.31,892.75,2050.04,413.57,38.51,50.99,47.68,6.57,1868.89,5550.26,2484.83,159.98
17.3,43.56,0.001,5.04,2.94,0.001,34.75,0.001,16.73,43.73,36.86,29.02,2.19,0.001,19.83,121.14,7.2,179.86,123.38,312.42,509.21,1403.19,606.07,37.68,11.12,41.45,5.05,3.22,688.79,761.13,0.001,38.49
11.86,28.17,0.001,1.21,2.6,0.001,15.42,0.001,10.55,38,31.32,23.88,1.42,136.03,9.19,105.71,8.45,59.01,111.61,61.71,119.79,291.45,952.1,29.43,0.001,244.48,3.57,6.57,1011.35,187.31,0.001,82.12
